,mult_accents
138,"фланговый: фл+анговый, фланг+овый"
139,"фортепиано: фортепи+ано, фортепь+яно"
140,"фортепьяно: фортепи+ано, фортепь+яно"
141,"хила: хил+а, х+ила"
142,"царствен: ц+арствен, ц+арственен"
143,"царственен: ц+арствен, ц+арственен"
144,"чё+рствы: чёрствы, черств+ы"
145,"чё+рствы: чёр+ствы, черств+ы"
146,"черствы: чё+рствы, черств+ы"
147,"четка: четк+а, ч+ётка"
148,"чё+тка: четк+а, чётка"
149,"чё+тка: четк+а, чётка+"
150,"чув ствен: ч+ув ствен, ч+увственен"
151,"чувственен: ч+ув ствен, ч+увственен"
152,"шуст+ёр: шуст+ёр, шустр"
153,"шустр: шуст+ёр, шустр"
154,"явствен: +явствен, +явственен"
155,"явственен: +явствен, +явственен"
